ID,Event,Latitude,Longitude,image,icon
1,Parisii,48.854722, 2.3475,"<img src=""Images/ile de la cite2.jpg"" >","""marker"""
2,Romans,48.8451,2.3528,"<img src=""Images/arenes de lutece.jpg"" >","""marker"""
3,Franks,48.853889,2.334444,"<img src=""Images/abbey.jpg"" >","""marker"""
4,Middle Ages,48.8606,2.3376,"<img src=""Images/louvre.jpg"" >","""marker"""
5,Fortifications,48.8532,2.3691,"<img src=""Images/la_bastille.jpg"" >","""marker"""
6,Gothic Style,48.853,2.3499,"<img src=""Images/notre dame.jpg"" >","""marker"""
7,Sainte Chapelle,48.8554,2.345,"<img src=""Images/sainte chapelle.jpg"" >","""marker"""
8,University of Paris,48.851111,2.340556,"<img src=""Images/sorbonne.jpg"" >","""marker"""
9,100 years war,48.86194444,2.34027778,"<img src=""Images/porte saint honoure.jpg"" >","""marker"""
10,Hotel de Ville,48.856389,2.352222,"<img src=""Images/hotel de ville.jpg"" >","""marker"""
11,Pont Neuf,48.857,2.3413,"<img src=""Images/pont neuf.jpg"" >","""marker"""
12,Luxembourg Palace,48.8483,2.3373,"<img src=""Images/luxembourg palace.jpg"" >","""marker"""
13,Les Invalides,48.8551,2.3126,"<img src=""Images/les invalides.jpg"" >","""marker"""
14,Place de la Concorde,48.8656,2.3212,"<img src=""Images/place de la concorde.jpg"" >","""marker"""
15,Café Procope,48.852496,2.338811,"<img src=""Images/cafe procope.jpg"" >","""marker"""
16,The French Revolution ,48.8533,2.3692,"<img src=""Images/place de la bastille.jpg"" >","""marker"""
17,Arc de Triomphe,48.8738,2.295,"<img src=""Images/arc de triomphe.png"" >","""marker"""
18,Palais Garnier,48.872,2.3316,"<img src=""Images/palais_garnier_exterior.jpg"" >","""marker"""
19,First World War Demonstrations ,48.8809,2.3553,"<img src=""Images/gare du nord.jpg"" >","""marker"""
20,Belle Époque (1871–1914),48.8867,2.3431,"<img src=""Images/sacre coeur.jpg"" >","""marker"""
21,The Crazy Years ,48.8401,2.33596,"<img src=""Images/la closerie des lilas.jpg"" >","""marker"""
22,German Soldiers Parade on the Champs Élysées,48.8705,2.304897,"<img src=""Images/champs elysees.jpg"" >","""marker"""
23,Post-war,48.854,2.3332,"<img src=""Images/les deux magots.jpg"" >","""marker"""
24,Grande Arche,48.892778,2.235833,"<img src=""Images/grande arche de la defense.jpg"" >","""marker"""
